time_s,hour,agg_mode,theta,P_A_alloc,P_B_alloc,P_total_alloc,support_flag,P_A_kW,alpha_attack,Tz_A_core,Tz_A_east,Tz_A_north,Tz_A_south,Tz_A_west,comfort_viol_A,mode_A,P_B_kW,SOC_B,uMod_B,Tz_B_core,comfort_viol_B,P_total_kW
48600.0,13.5,ATTACK_OPTIMIZE,3,25.019394879751744,15.0,40.019394879751744,True,19.200000000000003,0.95,26.082444649857912,22.458537597921865,22.48061206297876,22.696321033229342,22.550251191359123,2.082444649857912,COMFORT_PRIORITY,3.0,0.10166666666666674,1,22.91296486684603,0.0,22.200000000000003
49500.0,13.75,ATTACK_OPTIMIZE,3,25.019394879751744,15.0,40.019394879751744,True,19.200000000000003,0.95,26.568062057660068,22.512418220501313,22.521159379483493,22.6814021823132,22.485709997327998,2.568062057660068,COMFORT_PRIORITY,3.0,0.10166666666666674,1,22.91296486684603,0.0,22.200000000000003
50400.0,14.0,ATTACK_OPTIMIZE,0,15.375446960667464,15.0,30.375446960667464,True,19.8,0.0,25.36714210676396,22.585079179028913,22.534108414012426,22.609636473124567,22.505703754415237,1.3671421067639606,NOMINAL,15.0,0.23666666666666675,-1,23.238018202633704,0.0,34.8
51300.0,14.25,ATTACK_OPTIMIZE,0,17.018469656992085,15.0,32.01846965699208,True,19.8,0.0,24.503658535167148,22.486969981555056,22.46304237242771,22.551972864770566,22.500183665018074,0.5036585351671476,NOMINAL,15.0,0.23666666666666675,-1,23.238018202633704,0.0,34.8
52200.0,14.5,ATTACK_OPTIMIZE,0,17.018469656992085,15.0,32.01846965699208,True,19.8,0.0,23.942942148333117,22.49615045953654,22.44662758181018,22.566470325269467,22.526956322121972,0.0,NOMINAL,15.0,0.23666666666666675,-1,23.238018202633704,0.0,34.8
53100.0,14.75,NORMAL,0,20.586047430555574,22.413952569444426,43.0,False,19.8,0.0,23.486301285521932,22.602785432734724,22.485968588499837,22.623785808968872,22.565176635406722,0.0,NOMINAL,15.0,0.23666666666666675,-1,23.238018202633704,0.0,34.8
54000.0,15.0,NORMAL,0,20.647233201388904,22.352766798611096,43.0,False,19.8,0.0,23.253266700588764,22.558097838754275,22.47218189251896,22.644107395204816,22.58184646645244,0.0,NOMINAL,12.0,0.23666666666666675,2,23.085575897604265,0.0,31.8
54900.0,15.25,NORMAL,0,20.690063240972233,22.309936759027767,43.0,False,19.8,0.0,23.082407440202594,22.531531821695168,22.45434482136734,22.69971205478805,22.57391640555436,0.0,NOMINAL,12.0,0.23666666666666675,2,23.085575897604265,0.0,31.8
55800.0,15.5,NORMAL,0,20.720044268680564,22.279955731319436,43.0,False,19.8,0.0,22.91668992273421,22.547381701729933,22.559170130790587,22.62255832533217,22.50160106013525,0.0,NOMINAL,12.0,0.23666666666666675,2,23.085575897604265,0.0,31.8
56700.0,15.75,NORMAL,0,20.741030988076393,22.258969011923607,43.0,False,19.8,0.0,22.78744667704617,22.563069237413117,22.577569657588636,22.624491493652553,22.46804934576256,0.0,NOMINAL,12.0,0.23666666666666675,2,23.085575897604265,0.0,31.8
